"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",187,0.622533610311051,2.50781684018119,1e-10,5e-09,4e-09,2023,"tags=31%, list=8%, signal=29%","Fbln1/Vcan/Col6a3/Fmod/Gja1/Sfrp1/Col1a2/Abi3bp/Thbs1/Col4a1/Col4a2/Fbn1/Col1a1/Dcn/Col8a2/Tgfbr3/Igfbp4/Bgn/Fbn2/Timp3/Pcolce/Lama2/Nid2/Fbln5/Pmp22/Fstl1/Loxl1/Col6a2/Tgfbi/Sparc/Inhba/Efemp2/Spock1/Lum/Col16a1/Cd44/Plod3/Col11a1/Il15/Gas1/Sdc1/Matn2/Fzd8/Mmp14/Acta2/Fgf2/Vim/Itgb1/Lox/Sfrp4/Igfbp3/Fap/Mest/Gm21451/Itgav/Lamc1/Notch2/Rhob"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",192,-0.437525572105256,-1.92339116035978,1.07547858217727e-06,2.68869645544318e-05,2.15095716435454e-05,1874,"tags=20%, list=7%, signal=19%","Cox6a2/Syngr2/Fkbp1b/Myoz1/Cd36/Cox7a1/Ppfia4/Hbegf/Pygm/Hrc/Kcnh2/Ldb3/Fabp3/Actc1/Eno3/Myh11/Pvalb/Pgam2/Mapk12/Tcap/Des/Ckmt2/Actn3/Casq1/Mb/Ryr1/Actn2/Myl1/Tnnc2/Mylpf/Tnnt3/Tpm2/Tnni2/Ckm/Myh2/Acta1/Myh1/Atp2a1/Myh4"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,0.473176095904127,1.83237672588759,0.00050397203364371,0.00839953389406183,0.00671962711524946,5955,"tags=37%, list=23%, signal=29%","Gja1/Col1a2/Col1a1/Tgfbr3/Ltbp1/Met/Fbln5/Pmp22/Efemp1/Id1/Col11a1/Rnd3/Igfbp5/Fhl2/Lamc1/Notch2/Ica1/Pdgfrb/Cav1/Slc7a1/Plpp3/Mrps31/Col3a1/Mgmt/Adora2b/Anxa4/Nrp1/Add3/Mapk14/Prkce/Acvr2a/Nr1d2/Apbb2/Vav2/Nfib/Ddah1/Grk5/Insig1/Pik3r3/F3/Pten/Abcc1/Myc/Cited2/Lpar1/Irs1/Cdc42bpa/Rbpms/Smad3/Bckdhb/Rgs4/Mt1/Nr3c1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",112,0.486570832217738,1.83519473581602,0.00201541509799728,0.0203277986891303,0.0162622389513043,1803,"tags=20%, list=7%, signal=18%","Thbs1/Fbn1/Trf/Cfh/Hmgcs2/Timp3/Dct/Mmp15/Sh2b2/Sparc/Ctsk/Gng12/Gsn/Anxa1/A2m/Clu/Mmp14/Capn2/Klkb1/Rac1/C3/Ctsl"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",154,0.434209753303278,1.69298244236291,0.00203277986891303,0.0203277986891303,0.0162622389513043,2750,"tags=25%, list=11%, signal=23%","Gpx3/Ccnd2/Dcn/Tgfbr3/Bgn/Gpx1/Timp3/Gstm2/Btg3/Gsn/Anxa1/Ccnd1/Irf1/Ifitm3/Lum/Cd44/Lgals3/Clu/Wee1/Tap1/Top2a/Bnip3l/Ppp3r1/Igfbp6/Erbb3/Hmgb2/Cflar/Rhob/Bmp2/Timp2/Xiap/F2r/Rnasel/Hspb1/Pdgfrb/Casp3/Cav1/Mgmt/Casp6"
