category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	mmu05171	Coronavirus disease - COVID-19	9/270	334/10692	0.0269461077844311	1.06706586826347	0.200425208483237	0.469518216896248	0.750785048423994	0.641787289716024	21937/66481/234779/19094/18035/11491/29857/17874/21898	9
Metabolism	Lipid metabolism	mmu00592	alpha-Linolenic acid metabolism	1/270	25/10692	0.04	1.584	0.470519055257346	0.472786174671242	0.750785048423994	0.641787289716024	18783	1
Human Diseases	Immune disease	mmu05310	Asthma	1/270	25/10692	0.04	1.584	0.470519055257346	0.472786174671242	0.750785048423994	0.641787289716024	14961	1
Genetic Information Processing	Information processing in viruses	mmu03250	Viral life cycle - HIV-1	2/270	63/10692	0.0317460317460317	1.25714285714286	0.329468613847744	0.475125783342215	0.750785048423994	0.641787289716024	319236/16543	2
Metabolism	Metabolism of cofactors and vitamins	mmu00830	Retinol metabolism	3/270	102/10692	0.0294117647058824	1.16470588235294	0.269015143544793	0.478000373806125	0.750785048423994	0.641787289716024	232174/235033/103142	3
Human Diseases	Neurodegenerative disease	mmu05017	Spinocerebellar ataxia	4/270	141/10692	0.0283687943262411	1.12340425531915	0.237415130349323	0.47868845369315	0.750785048423994	0.641787289716024	13131/19181/19173/18044	4
NA	NA	mmu04081	Hormone signaling	6/270	220/10692	0.0272727272727273	1.08	0.19297543255214	0.482740521322895	0.753176310755093	0.643831392450486	22353/12167/13371/14679/56508/51801	6
Organismal Systems	Digestive system	mmu04977	Vitamin digestion and absorption	1/270	26/10692	0.0384615384615385	1.52307692307692	0.429800540343213	0.486130857603535	0.754515601905487	0.644976247478374	65969	1
Organismal Systems	Circulatory system	mmu04270	Vascular smooth muscle contraction	4/270	144/10692	0.0277777777777778	1.1	0.194451679220886	0.495091102486712	0.755042725974282	0.645426844527644	17880/18753/18783/51801	4
Metabolism	Glycan biosynthesis and metabolism	mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/270	27/10692	0.037037037037037	1.46666666666667	0.390772277079323	0.4991389832783	0.755042725974282	0.645426844527644	53625	1
Metabolism	Carbohydrate metabolism	mmu00650	Butanoate metabolism	1/270	27/10692	0.037037037037037	1.46666666666667	0.390772277079323	0.4991389832783	0.755042725974282	0.645426844527644	15360	1
Environmental Information Processing	Signal transduction	mmu04392	Hippo signaling pathway - multiple species	1/270	27/10692	0.037037037037037	1.46666666666667	0.390772277079323	0.4991389832783	0.755042725974282	0.645426844527644	22601	1
Organismal Systems	Excretory system	mmu04966	Collecting duct acid secretion	1/270	27/10692	0.037037037037037	1.46666666666667	0.390772277079323	0.4991389832783	0.755042725974282	0.645426844527644	20499	1
