ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0003714	transcription corepressor activity	9/656	198/28409	0.0454545454545455	1.96847283813747	2.10246164198972	0.0411685559484794	0.363073670028722	0.333730138584309	Drap1/C1qbp/Hdac7/Cir1/Hr/Tle6/Sap30/Yap1/Ddit3	9
MF	GO:0008028	monocarboxylic acid transmembrane transporter activity	5/656	82/28409	0.0609756097560976	2.64063429506246	2.28736621414273	0.0413330956824419	0.363073670028722	0.333730138584309	Slc16a4/Slc16a9/Abcg2/Fabp3/Slc16a12	5
MF	GO:0019787	ubiquitin-like protein transferase activity	17/656	463/28409	0.0367170626349892	1.59008389084971	1.96816592385389	0.0420864030522527	0.365213124981238	0.3356966832741	Traip/Ring1/Lnx2/Ppp1r11/Trim12c/Birc5/Sh3rf3/Herc6/Trim12a/Trim43a/Trim45/Ube2a/Znrf3/Ube2e2/G2e3/Trim60/Marchf4	17
MF	GO:0019003	GDP binding	5/656	83/28409	0.0602409638554217	2.60881942403761	2.25668531773464	0.0431826034805021	0.365213124981238	0.3356966832741	Rragc/Gnai3/Rap1a/Rala/Rab4a	5
MF	GO:0030971	receptor tyrosine kinase binding	5/656	83/28409	0.0602409638554217	2.60881942403761	2.25668531773464	0.0431826034805021	0.365213124981238	0.3356966832741	Myoc/Sh2b2/Angpt1/Hyal2/Ywhag	5
MF	GO:0004197	cysteine-type endopeptidase activity	5/656	84/28409	0.0595238095238095	2.57776204994193	2.22645268878564	0.0450810988691101	0.365213124981238	0.3356966832741	Ctsk/Capn2/Atg4a/Usp27x/Ctss	5
MF	GO:0004089	carbonate dehydratase activity	2/656	15/28409	0.133333333333333	5.77418699186992	2.84347259644647	0.0458288138721605	0.365213124981238	0.3356966832741	Car12/Car7	2
MF	GO:0005024	transforming growth factor beta receptor activity	2/656	15/28409	0.133333333333333	5.77418699186992	2.84347259644647	0.0458288138721605	0.365213124981238	0.3356966832741	Tgfbr3/Bmpr1b	2
MF	GO:0005313	L-glutamate transmembrane transporter activity	2/656	15/28409	0.133333333333333	5.77418699186992	2.84347259644647	0.0458288138721605	0.365213124981238	0.3356966832741	Slc25a13/Slc7a11	2
MF	GO:0015556	C4-dicarboxylate transmembrane transporter activity	2/656	15/28409	0.133333333333333	5.77418699186992	2.84347259644647	0.0458288138721605	0.365213124981238	0.3356966832741	Slc25a13/Slc13a3	2
MF	GO:0016530	metallochaperone activity	2/656	15/28409	0.133333333333333	5.77418699186992	2.84347259644647	0.0458288138721605	0.365213124981238	0.3356966832741	Pcbp1/Trf	2
MF	GO:0016757	glycosyltransferase activity	11/656	268/28409	0.041044776119403	1.77750159264652	1.96614798592446	0.048011529156586	0.378703184061643	0.348096478847428	Galnt12/B3gat2/Parp4/Alg3/Galnt17/C1galt1/Fut11/Rfng/St8sia6/B3gnt2/Poglut3	11
MF	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	12/656	304/28409	0.0394736842105263	1.70946325417202	1.91201891844721	0.0511729142461659	0.380846818953039	0.35006686565439	Zfp433/Tbx18/Cc2d1a/Zc3h8/Klf8/Mypop/Zbtb25/Etv6/Tcf7/Zfp512b/Atf3/Kcnip3	12
MF	GO:0004707	MAP kinase activity	2/656	16/28409	0.125	5.41330030487805	2.71478294272745	0.0515923749391925	0.380846818953039	0.35006686565439	Mapk11/Mapk12	2
MF	GO:0005172	vascular endothelial growth factor receptor binding	2/656	16/28409	0.125	5.41330030487805	2.71478294272745	0.0515923749391925	0.380846818953039	0.35006686565439	Pdcl3/Angpt1	2
MF	GO:0015651	quaternary ammonium group transmembrane transporter activity	2/656	16/28409	0.125	5.41330030487805	2.71478294272745	0.0515923749391925	0.380846818953039	0.35006686565439	Slc22a21/Slc16a9	2
MF	GO:0034236	protein kinase A catalytic subunit binding	2/656	16/28409	0.125	5.41330030487805	2.71478294272745	0.0515923749391925	0.380846818953039	0.35006686565439	Ezr/Smo	2
MF	GO:0022804	active transmembrane transporter activity	16/656	441/28409	0.036281179138322	1.57120734472651	1.85865872115278	0.0518721281312852	0.380846818953039	0.35006686565439	Slc16a4/Slc12a8/Slc9a3/Slc5a3/Slc25a13/Abcg2/Slc13a3/Atp1b3/Slc12a7/Slc5a1/Slc7a11/Slc30a1/Slc17a1/Slc16a12/Slc15a4/Slc2a4	16
MF	GO:0042887	amide transmembrane transporter activity	3/656	37/28409	0.0810810810810811	3.51132992748846	2.35004912134086	0.0533471772208541	0.380846818953039	0.35006686565439	Abcg2/Slc13a3/Slc15a4	3
MF	GO:0008013	beta-catenin binding	6/656	117/28409	0.0512820512820513	2.2208411507192	2.03440562152901	0.0543310902530435	0.380846818953039	0.35006686565439	Sall1/Lzic/Ctnnd1/Nos3/Tcf7/Met	6
