SYMBOL	logFC	P.Value	padj	change
FAM83G	0.338757192429711	0.410656450834518	0.462694264150625	NOT
Fam83h	-0.72383610296055	0.0267896809211957	0.0381774305157528	NOT
Fam89a	-0.958849388144026	4.03990734246753e-05	8.3334740887622e-05	NOT
FAM89B	-1.35957914147047	9.11999450043085e-31	3.46724326999627e-29	DOWN
FAM8A1	1.08921355845407	1.63900536144071e-20	1.88147611568964e-19	UP
FAM91A1	1.44317155558537	2.31066070372982e-36	1.52845542783492e-34	UP
Fam92a	0.690446495203456	2.32291505909763e-13	1.17709790576259e-12	NOT
Fam92b	1.64243061782779	1.38491543195223e-05	3.01444408096907e-05	UP
FAM98A	0.407817279635241	9.0456935775806e-06	2.01347556907939e-05	NOT
FAM98B	0.544566794156864	1.39699116960063e-05	3.03938300040987e-05	NOT
FAM98C	-0.534765683709854	0.00274541584628271	0.00449773757757843	NOT
FAN1	-0.493339390378392	1.20703590964549e-06	2.95567508352932e-06	NOT
FANCB	1.50446184297219	0.00412216951132959	0.00658573837990065	UP
FANCC	-0.292931035389174	0.168518158417222	0.207350865367003	NOT
FANCD2	0.335141539896351	0.069622011863675	0.0926472076681164	NOT
FANCE	-1.28573726156106	4.07109352951936e-08	1.16381202817713e-07	DOWN
FANCF	-0.287535703885272	0.188588795923795	0.229538440318779	NOT
FANCG	0.409592987008336	0.121099978535172	0.15349250587492	NOT
FANCI	-0.802284614612159	0.0164009002468045	0.0241182015293204	NOT
FANCL	1.1075613901569	1.02436392285901e-11	4.34456360727234e-11	UP
FANCM	0.79464973460417	2.63910642866435e-05	5.56294068722889e-05	NOT
FAP	0.84443095767851	6.37602903640585e-07	1.60719077778576e-06	NOT
Far1	1.36881018997047	9.55267519620178e-26	2.12536216921829e-24	UP
FAR2	-0.897933325532202	0.139321655097663	0.174296814039999	NOT
Farp1	-0.293726101573132	0.00170551868879096	0.0028618025455984	NOT
FARP2	0.111001230039532	0.352713093301682	0.404232059614102	NOT
FARS2	-1.00434825553143	1.58778443753406e-08	4.73638184794033e-08	DOWN
FARSA	-0.880129798500754	2.08556583353557e-12	9.50685463859185e-12	NOT
